measured_on,inv_string09_ac_output_(kwh)_inv_150212,inv_string09_ac_output_(power_factor)_inv_150213,inv_string09_ac_voltage_(v)_inv_150211,inv_string09_dc_voltage_(v)_inv_150210,inv_string09_temperature_(c)_inv_150214
2019-06-22 18:56:51,0.335,0.5594059409999999,122.188,398.875,46.1001
2019-06-22 19:01:51,0.127,0.260115607,122.281,399.312,45.8165
2019-06-22 19:06:50,0.0909999999999999,0.099671413,122.266,294.688,45.5312
2019-06-22 19:11:50,0.0,,121.719,52.25,46.6275
2019-06-22 19:16:50,0.0,,121.953,37.5625,46.7672
2019-06-22 19:21:51,0.0,,121.734,1.25,46.6625
2019-06-23 05:56:52,0.023,0.112903226,121.531,540.812,32.3958
2019-06-23 06:01:52,0.22,0.3686868689999999,121.344,398.75,33.1642
2019-06-23 06:06:52,0.505,0.7399103139999998,121.391,399.062,34.6523
2019-06-23 06:11:53,0.6169999999999999,0.770676692,121.0,399.062,35.798
2019-06-23 06:16:52,0.785,0.8627450979999999,121.422,399.062,36.5953
2019-06-23 06:21:52,0.889,0.911042945,121.734,398.938,37.1922
2019-06-23 06:26:50,1.224,0.934883721,121.812,399.062,37.6963
2019-06-23 06:31:49,1.575,0.966789668,121.156,398.938,38.1936
2019-06-23 06:36:49,2.072,0.974754558,121.578,399.375,38.6556
2019-06-23 06:41:50,2.678,0.984444444,121.406,399.0,39.0219
2019-06-23 06:46:50,3.244,0.988018433,121.422,398.875,39.4735
2019-06-23 06:51:50,3.848,0.992990654,121.562,398.875,39.8363
2019-06-23 06:56:50,4.464,0.995289367,121.391,399.25,40.3712
2019-06-23 07:01:50,5.099,0.992375367,121.234,399.375,40.8299
2019-06-23 07:06:50,5.942,0.995465995,120.891,398.875,41.3869
2019-06-23 07:11:49,6.221,0.995660559,120.438,398.938,41.9368
2019-06-23 07:16:50,6.831,0.996485062,120.344,399.5,42.5113
2019-06-23 07:21:50,7.668999999999999,0.996882307,120.984,399.25,43.1718
2019-06-23 07:26:50,8.186,0.998167155,120.906,399.125,43.817
2019-06-23 07:31:50,8.519999999999998,0.997536079,120.141,399.125,44.4573
2019-06-23 07:36:50,9.502,0.993400377,120.172,399.625,44.9933
2019-06-23 07:41:50,10.583,0.998292058,120.359,398.812,44.9385
2019-06-23 07:46:50,11.367,0.997361478,120.359,399.062,44.0926
2019-06-23 07:51:50,12.677,0.996213914,120.719,399.0,44.6384
2019-06-23 07:56:50,13.144,0.998171429,120.188,399.188,42.5377
2019-06-23 08:01:50,13.429,0.998207885,120.688,399.375,42.7956
2019-06-23 08:06:50,13.965,0.997637457,120.484,399.375,43.4156
2019-06-23 08:11:50,15.57,0.998458277,120.812,399.188,44.062
2019-06-23 08:16:50,15.769,0.997323647,120.719,399.0,44.7837
2019-06-23 08:21:50,15.911,0.997921391,121.125,399.625,45.4238
2019-06-23 08:26:50,16.788,0.998567335,120.828,398.75,45.929
2019-06-23 08:31:51,17.972,0.993679308,120.562,399.188,46.2766
2019-06-23 08:36:51,20.256,0.996438112,121.375,399.062,47.1493
2019-06-23 08:37:51,20.237,0.998810763,121.547,399.375,47.3162
2019-06-23 08:41:50,21.18,0.998439495,121.297,399.438,48.1084
2019-06-23 08:46:49,21.192,0.998725934,121.219,399.125,49.0819
2019-06-23 08:51:49,23.432,0.998081596,121.328,398.688,50.2784
2019-06-23 08:56:49,25.622,0.998710283,121.578,399.25,51.783
2019-06-23 09:01:49,27.0,0.9975482,121.547,398.938,53.5438
2019-06-23 09:06:50,28.357,0.998726655,120.969,399.0,55.3287
2019-06-23 09:11:50,30.054,0.998297617,121.625,398.812,56.1386
2019-06-23 09:16:50,31.376,0.99942435,121.375,399.0,56.4766
2019-06-23 09:21:50,31.601,0.99923882,121.328,398.75,56.3501
2019-06-23 09:26:50,32.708,0.998804158,122.031,399.125,56.4766
2019-06-23 09:31:49,33.89,0.997081454,122.078,399.312,57.1473
2019-06-23 09:36:49,31.134,0.997689864,122.125,398.812,56.3078
2019-06-23 09:41:50,32.77,0.998808869,122.328,399.0,55.7136
2019-06-23 09:46:50,30.529,0.998427209,121.906,398.688,56.3923
2019-06-23 09:51:48,30.634,0.998917003,121.938,398.875,56.645
2019-06-23 09:56:48,34.013,0.999380695,122.188,399.0,56.9385
2019-06-23 10:01:49,34.757,0.999653859,122.422,399.0,57.7698
2019-06-23 10:06:49,34.441,0.998256473,122.047,398.75,58.3044
2019-06-23 10:11:48,35.395,0.999065182,121.844,398.938,58.8752
2019-06-23 10:16:49,35.064,0.997857204,121.828,399.062,59.4676
2019-06-23 10:21:48,37.114,0.998461912,121.344,398.562,59.8284
2019-06-23 10:26:49,36.586,0.998606329,121.375,398.625,60.089
2019-06-23 10:31:48,36.973,0.998779098,122.0,398.688,59.8417
2019-06-23 10:36:49,37.801,0.996517334,122.219,398.875,59.9615
2019-06-23 10:41:49,38.326,0.997959184,121.922,399.375,60.1366
2019-06-23 10:46:49,38.596,0.998598458,121.578,398.625,60.8939
2019-06-23 10:51:49,38.928,0.992037973,121.625,398.938,61.4102
2019-06-23 10:56:49,39.524,0.997275617,122.0,399.0,61.9228
2019-06-23 11:01:49,39.633,0.999469416,121.469,399.0,62.2472
2019-06-23 11:06:49,39.967,0.997291196,121.672,399.125,62.9834
2019-06-23 11:11:49,40.194,0.993667585,120.688,399.562,63.7123
2019-06-23 11:16:49,40.354,0.998587781,122.078,398.938,64.3741
2019-06-23 11:21:49,40.832,0.998016602,121.547,399.625,65.0444
2019-06-23 11:26:49,40.67,0.99845679,121.672,399.0,65.7835
2019-06-23 11:31:49,41.506,0.996313697,122.328,399.375,66.203
2019-06-23 11:36:50,42.073,0.997215479,122.219,399.312,66.1245
2019-06-23 11:41:49,42.464,0.998656864,123.0,534.25,66.3076
2019-06-23 11:46:49,42.242,0.997799546,121.672,504.0,65.4147
2019-06-23 11:51:49,39.209,0.99861942,122.391,399.062,64.7772
2019-06-23 11:56:49,22.054,0.99931843,120.516,398.938,63.6518
2019-06-23 12:01:49,42.437,0.998301366,122.859,505.938,61.2697
2019-06-23 12:06:49,33.281,0.998464734,121.828,399.688,62.1393
2019-06-23 12:11:49,38.371,0.998121037,121.938,399.688,61.7368
2019-06-23 12:16:50,13.674,0.998018058,119.766,398.938,60.2317
2019-06-23 12:21:49,16.638,0.997290462,119.828,399.125,58.0993
2019-06-23 12:26:49,16.799,0.997849077,119.75,399.125,56.687
2019-06-23 12:31:49,18.43,0.998210218,120.328,399.125,55.5856
2019-06-23 12:36:49,19.789,0.99772175,120.109,399.125,55.2572
